BAscore,abv,beer_id,beer_img,beer_name,beer_style,brewery,desc,num_reviews,ranking
3.97,6.25,387,https://cdn.beeradvocate.com/im/beers/83823.jpg,Blonde IPA,American IPA,pFriem Family Brewers,"The great brewmasters of the Pacific Northwest are reverent of the past and its brewing traditions, but never cease to look forward, tinkering and experimenting to create flavors that are uniquely bold and new. Case-in-point, Pfriem’s Blonde IPA—Its refreshing blast of citrus and secret ingredient (sunshine) will have you looking forward to another before even enjoying its just bitter enough finish.",20,11741
3.67,7.00,388,https://cdn.beeradvocate.com/im/beers/90964.jpg,New Zealand IPA,American IPA,Zipline Brewing Co,None provided.,12,33382
3.98,7.50,389,,Aboriginal Gangster,American IPA,Burley Oak Brewing Co.,single hopped with Motuka hops,8,11178
3.5,6.50,390,https://cdn.beeradvocate.com/im/beers/48330.jpg,India Pale Ale,American IPA,Brown's Brewing Company,None provided.,29,41260
3.59,5.50,391,https://cdn.beeradvocate.com/im/beers/14783.jpg,Dick's IPA,American IPA,Dick's Brewing Company,None provided.,70,37925
4.04,5.40,392,https://cdn.beeradvocate.com/im/beers/363214.jpg,Baby Bright,American IPA,Tree House Brewing Company,"Baby Bright was carefully crafted to showcase the beautiful unadulterated hop character of Citra, Simcoe, and Amarillo in an easy drinking, clean, and light bodied package. This beer is fermented with clean American Ale yeast allowing the authentic hop character to shine through brightly. We taste tangerines, apricot, and candied grapefruit balanced by a soft bitterness that dissolves gently on the tongue. The hard working crew here at Tree House could not be more excited about this refreshing, easy drinking entry to our line-up. It is a study in balance, elegance, and restraint.",33,-
4,4.60,393,https://cdn.beeradvocate.com/im/beers/243579.jpg,Mango Guppy,American IPA,Pipeworks Brewing Company,Session IPA Brewed w/Honey & Mango Puree 4.6%ABV,39,9779
3.65,7.50,394,https://cdn.beeradvocate.com/im/beers/85472.jpg,Galaxy IPA,American IPA,Big Muddy Brewing,Australian Galaxy & American Cascade Hops create an intense hop aroma and flavor balanced with a medium malt body yielding a very drinkable American-style India Pale Ale.,39,34886
3.57,4.50,395,https://cdn.beeradvocate.com/im/beers/169314.jpg,Saranac Gen IV Session IPA,American IPA,Matt Brewing Company / Saranac Brewery,None provided.,43,39124
3.46,6.00,396,https://cdn.beeradvocate.com/im/beers/62579.jpg,Saranac India Copper Ale,American IPA,Matt Brewing Company / Saranac Brewery,None provided.,89,42419
4.1,7.00,397,https://cdn.beeradvocate.com/im/beers/185670.jpg,Great North IPA,American IPA,Great North Aleworks,"Our award winning, unapologetically West Coast-Style IPA. Bright and complex with piney hop flavors.",33,5457
3.43,4.50,398,https://cdn.beeradvocate.com/im/beers/188578.jpg,Low Key,American IPA,Magic Hat Brewing Company,"The beat is steady and clear. First it’s in your fingers, snap-snapping. Then it’s in your toes, tap-tapping. The rhythm rises free and flowing. A new session finds its pace and tunes out time, leading you on a remarkable journey. Slake it with song, feed it with feeling and let Low Key be your guide.",30,43128
3.8,5.90,399,https://cdn.beeradvocate.com/im/beers/72513.jpg,French Broad IPA,American IPA,French Broad River Brewing,None provided.,38,23825
3.8,6.90,400,https://cdn.beeradvocate.com/im/beers/139625.jpg,Amra Mango IPA,American IPA,DESTIHL Brewery,"‘Amra’, which is Sanskrit for Mango, intertwines fruity hop characters of a west coast-style IPA with the fruitiness of juicy juicy mangos, resulting in an elaborate and psychedelic tapestry of flavors that were absolutely destined for each other in this beer. Cheers!INGREDIENTS: 2-row malt, flaked wheat, caramel malt 20",41,23823
3.68,5.40,401,https://cdn.beeradvocate.com/im/beers/23738.jpg,Carolina India Pale Ale,American IPA,Carolina Brewing Company,None provided.,96,32953
4.07,6.70,402,https://cdn.beeradvocate.com/im/beers/102534.jpg,Refuge IPA,American IPA,Arizona Wilderness Brewing Co.,"West Coast IPA brewed with Centennial, Simcoe, Cascade, and Columbus hops",17,6579
3.68,6.60,403,https://cdn.beeradvocate.com/im/beers/61799.jpg,Massive IPA,American IPA,Great South Bay Brewery,"This whale of a brew begins with a huge grain bill, consisting of American 2-Row malted barley. Plenty of the finest American-grown hops are then introduced at every stage of the brewing process. Massive additions of hops in the boil kettle produce a smooth yet assertive finish. In a technique called hop-backing, the boiling wort is pumped over more fresh hops on its way to the fermenter - this lends huge hop flavor. Finally, the addition of whole cone hops into the conditioning tank imparts a hops-bursting-out-of-the-glass aroma, rounding out a complete hop sensory experience!",33,32954
3.58,6.50,404,https://cdn.beeradvocate.com/im/beers/72330.jpg,Hop Hash,American IPA,Caldera Brewing Company,"Caldera's Hop Hash Ale is a partnership with Hopunion, LLC. Hop Hash is like a breakfast hash, but mashing different hop varieties instead of meat, potatoes and spices--a twist on the American-Style Strong Pale Ale using pure lupulin for bitterness, taste and aroma. This ale gets its name from pure hop lupulin extracted and scraped from the Hopunion pelletizing line. Lupulin is the glandular powder separated from the strobiles of the Humulus Lupulus (hops) plant.",42,38679
3.78,6.30,405,https://cdn.beeradvocate.com/im/beers/28011.jpg,Bent Nail IPA,American IPA,Red Lodge Ales,Bent Nail I.P.A. is a tribute to the hard-working contractors who make their living in Red Lodge. The I.P.A is high in alcohol and hop flavor. We use copious of American cascade hops to give the IPA intense grapefruit and citrus aroma and flavor.,38,25488
3.95,6.60,406,https://cdn.beeradvocate.com/im/beers/147174.jpg,Speed Merchant White IPA,American IPA,Platform Beer Co.,"White IPA with fruity, tropical dry hops. White wheat gives a very pale color.",38,12560
3.63,6.70,407,https://cdn.beeradvocate.com/im/beers/74933.jpg,Frog's Breath,American IPA,Coronado Brewing Company,None provided.,31,36127
4.22,6.20,408,https://cdn.beeradvocate.com/im/beers/238558.jpg,Accumulated Knowledge,American IPA,Modern Times Beer,"SRM | Gold: 5Final Gravity: 1.004Hops: Simcoe, Oregon Horizon and AmarilloMalts: Two Row, White Wheat and Pale MaltWe've spent years obsessing over how to create the bomb-diggityest of IPAs. We've scoured the globe for the choicest hops, exhaustively refined our malt bills & yeast strains, & fine-tuned our methods & recipes to a point some would consider ridiculous. We wouldn't, & you're about to taste why. Vibrant notes of stone fruit, pine, & refreshing citrus dazzle the palate before making their exit in a graceful, dry finish that argues convincingly for a follow-up sip. It's the sum of our (current) IPA-brewing wisdom, & it also happens to pair pretty wonderfully with those veggie pakoras a couple of aisles over.",46,2441
3.94,7.00,409,,Higher Ground,American IPA,Birdsong Brewing,None provided.,10,13149
3.79,6.50,410,https://cdn.beeradvocate.com/im/beers/37232.jpg,India Red Ale (I.R.A.),American IPA,Double Mountain Brewery & Taproom,"""The ""IRA"", as it's known around here, marries a ruby red color and rich body with the hop flavors of an IPA. Our unique ale yeast strain adds a delicious layer of complexity. One of the first beers we made, and an enduring favorite.""Brewed with Gambrinus Organic Pilsner malt, imported crystal malt, Simcoe and Brewers' Gold hops. 6.8% ABV, 55 BU",47,24675
4.14,6.90,411,https://cdn.beeradvocate.com/im/beers/187285.jpg,Bodhizafa IPA,American IPA,Georgetown Brewing Company,None provided.,45,4191
3.93,4.50,412,https://cdn.beeradvocate.com/im/beers/217911.jpg,Effortless Grapefruit,American IPA,Captain Lawrence Brewing Co.,"The only thing “effortless” about this beer is how it drinks. Domestic and imported malts take a backseat to the loads of American grown hops that are dumped into the kettle. Dry-hopped for mouthwatering aroma with Mosaic and Palisade hops, and infused with natural grapefruit flavor to add to the refreshment. Enjoy an Effortless drinking experience with our Grapefruit Session IPA.",45,13807
3.46,4.20,413,https://cdn.beeradvocate.com/im/beers/115705.jpg,Pygmy Owl Itty Bitty IPA,American IPA,Big Sky Brewing Company,"On a classic Montana summer day last June, our head of maintenance at the brewery, Gus (that’s ‘Mr. Magic Fingers’ to us), was on his way to a fishing excursion on the Clark Fork River. He came around the corner and saw something he had never seen before, a very young pygmy owl, approximately an inch in height. The tiny critter sat on the side of the trail with a fly on its head, and stared at Gus. As Gus stared back, he took out his cell phone and snapped a couple of shots.The next day at the brewery, Gus shared the photos of his new friend. We all thought this “itty bitty” owl was pretty cool. So cool in fact, that we decided to post a shot on Facebook and see if the little guy was worthy of having a beer named after him. Based on the comments and likes, the overwhelming response was YES. Seven months later, we’re happy to announce the arrival of Pygmy Owl “Itty Bitty” IPA.Pygmy Owl is an IPA with full fledged hop taste and aroma, yet is remarkably low in alcohol. In fact, it clocks in at only 4.2% ABV. An IPA with full flavor, but without the harsh bitterness. And the best part, you can have more than one without getting that drunkied up feeling.Malts: Pale,Cara PilsHops: El Dorado, Mosaic",39,42437
3.62,6.20,414,https://cdn.beeradvocate.com/im/beers/96243.jpg,Hitachino Nest Dai Dai Ale,American IPA,Kiuchi Brewery,"Hitachino Nest DaiDai is a very unique brew, “Kiuchi/Hitachino” philosophy with highly focused notes of orange/mandarin, quite dry in the finish. Kiuchi Brewery uses a special, very rare type of orange called “Fukure Mikan”",42,36695
3.83,6.70,415,https://cdn.beeradvocate.com/im/beers/129342.jpg,Sky-Five,American IPA,Bauhaus Brew Labs,None provided.,33,21351
3.72,6.00,416,https://cdn.beeradvocate.com/im/beers/122204.jpg,Reach Around IPA,American IPA,Mispillion River Brewing,"Reach Around IPA is a very sessionable, easy drinking India Pale Ale. This beer boasts a huge hop flavor with a medium level of bitterness at 35 IBUs, and showcases copious amounts of Cascade, Columbus, and Nugget hops. Let’s face it, everyone loves a Reach Around.",36,30148
3.82,7.00,417,https://cdn.beeradvocate.com/im/beers/72225.jpg,Redacted IPA,American IPA,Renegade Brewing Company,Formally known as Ryeteous.,39,22248
3.56,6.50,418,https://cdn.beeradvocate.com/im/beers/31683.jpg,Barfly India Pale Ale,American IPA,Barley Island Brewing Company,"STYLE American IPAMALT 2-Row, Global Vienna, Carahell, Victory, Flaked BarleyHOP Summit, Citra, Amarillo, Cascade",96,39547
3.66,4.80,419,https://cdn.beeradvocate.com/im/beers/94606.jpg,Michigan Hatter,American IPA,New Holland Brewing Company,None provided.,26,34276
3.79,4.20,420,https://cdn.beeradvocate.com/im/beers/68285.jpg,Wanderer Session India Pale Ale,American IPA,North Peak Brewing Company,None provided.,62,24669
3.44,6.00,421,https://cdn.beeradvocate.com/im/beers/73168.jpg,New Guy IPA,American IPA,Atlantic Brewing Company / Mainely Meat BBQ,"With the recent explosion of over-the-top hopped IPAs, we wanted to return to an India Pale Ale that was well-hopped, but still balanced and smooth. Our brewers wanted to name it after one of our hardworking staffers, so we decided to name it after Dave—the new guy. This beer is made with one hundred percent Columbus hops and only one malt, yielding a nice earthy tone and spicy flavors. Columbus hops have a citrusy profile, which is more subtle than that found in most IPAs.",40,42911
3.87,6.30,422,https://cdn.beeradvocate.com/im/beers/13563.jpg,Liberation Ale,American IPA,Live Oak Brewing Company,None provided.,56,18086
3.78,4.50,423,https://cdn.beeradvocate.com/im/beers/160799.jpg,Effortless IPA,American IPA,Captain Lawrence Brewing Co.,The only “effortless” thing about this beer is how it drinks. Domestic and imported malts take a backseat to the loads of American grown hops that are dumped into the kettle. Dry-hopped for a mouthwatering aroma with Mosaic and Palisade hops. Enjoy an Effortless drinking experience with our Session IPA.,38,25487
4.01,6.50,424,https://cdn.beeradvocate.com/im/beers/82830.jpg,West Shore IPA,American IPA,Al's of Hampden / Pizza Boy Brewing,"A west coast style IPA, over-the-top hoppy and oh so dry. Hopped with simcoe, columbus and a touch of citra.",16,9238
3.8,4.50,425,https://cdn.beeradvocate.com/im/beers/130453.jpg,Rudie Session IPA,American IPA,Ska Brewing Co.,Rudie is the first new mainstay to be added to Ska’s portfolio since the death of Ten Pin Porter (RIP). The beer weighs in at 4.5% alcohol by volume and is brewed with El Dorado and Galaxy Hops in quantities more typical of an American IPA than a session beer.,27,23819
3.88,7.20,426,https://cdn.beeradvocate.com/im/beers/266045.jpg,Amarillo Hero,American IPA,Revolution Brewing,"Amarillo-Hero showcases the hop's intense citrus and floral notes. A simple, delicate malt bill allows the fruit basket of aromas to take center stage while a touch of Cascade and Citra layered in amplify this Hero’s juicy characteristics.Clean bitterness rounds this beer out resulting in a crisp, refreshing IPA.",34,17364
4.23,7.20,427,,Orange Whip IPA,American IPA,Mad Fox Brewing Company,None provided.,50,2274
3.19,6.80,428,https://cdn.beeradvocate.com/im/beers/79189.jpg,Gritty McDuff's Maine's Best IPA,American IPA,Gritty McDuff's Brewing Company,"Maine's Best IPA is a unique blend of American hops with a British body utilizing English 2-Row Pale malts. This IPA starts with a hoppy aroma and taste; ending with a sweet finish. Plenty of Munich and caramalts are used to give the beer that golden hue. There are fifty-six pounds of Cascade Hops used in each 50 barrel batch that is brewed! Then we finish the beer with Willamette & Warrior Hops, (Warrior is a high-alpha acid variety of hops).",35,45841
3.75,7.30,429,https://cdn.beeradvocate.com/im/beers/102504.jpg,Green Bench IPA,American IPA,Green Bench Brewing Co.,This our “bench-mark” beer. A medium bodied ale with aromas of soft citrus and earthy pine combined with very subtle notes of tropical fruit. This highly hopped American style IPA leaves your pallet with a lingering dry and bitter finish.,31,27884
3.58,6.75,430,https://cdn.beeradvocate.com/im/beers/35069.jpg,High Roller,American IPA,Big Boss Brewing,None provided.,32,38721
3.68,7.30,431,https://cdn.beeradvocate.com/im/beers/65944.jpg,Hop Riot IPA,American IPA,High Water Brewing,"Hop Riot IPA is our flagship beer. Brewed in the American IPA style with a definitive ""Left Coast"" attitude. We brew our IPA with an aggressive bittering level which is complimented and balanced by a defined malt backbone. Our final signature is the dry hop step where fresh hops are immersed in the finished beer to provide the floral and citrus aromas of our IPA, a Hop Riot indeed. 7.3% ABV 73 IBU",63,32958
4.07,7.20,432,https://cdn.beeradvocate.com/im/beers/156104.jpg,Harness IPA,American IPA,Bent Paddle Brewing Co.,"Formerly Harness The Winter IPAHarness IPA celebrates the tethered teamwork and balance that typifies the deployment of a harness. Brewed to be bold and flavorful, Harness IPA supports an enormous hop load with an anchored malt bill of oats, rye and malted barley. Climbing gear is not necessary to enjoy this beer!",35,6541
3.72,7.00,433,https://cdn.beeradvocate.com/im/beers/89178.jpg,Hop Slinger India Pale Ale,American IPA,Henniker Brewing Co.,"An India Pale Ale - gets its golden copper color from the light caramel malts, which provide a solid backbone to the support all the great hops. This beer presents with an overwhelming citrus aroma that leads into an unmistakable flavor of grapefruit. Hop Slinger leaves you with a nice dry bitterness that pairs well with spicy curries, salty fried foods and ginger based desserts.",34,30154
4.17,7.00,434,https://cdn.beeradvocate.com/im/beers/140327.jpg,Hayburner American IPA,American IPA,Big Ditch Brewing Company,"Hayburner is a luscious and citrusy IPA, with primary notes of orange, melon, grapefruit, and a slightly earthy finish. It packs a firm bitterness but remains balanced by abundant late hop additions and a soft, airy malt base.",32,3461
3.89,7.10,435,https://cdn.beeradvocate.com/im/beers/123009.jpg,MoonJuice IPA,American IPA,SanTan Brewing Co.,"A wheat IPA that features hops from our friends in the southern hemisphere (Galaxy and Nelson Sauvin). Almost 40% wheat malt, but is fermented, hopped, dry-hopped, and filtered like a west coast style IPA. The wheat makes it a very satiable beer and the aroma will carry loads of citrus and tropical fruit.",35,16669
3.63,6.20,436,https://cdn.beeradvocate.com/im/beers/127859.jpg,360 India Pale Ale,American IPA,Sly Fox Brewing Company,None provided.,30,36138
3.72,7.50,437,https://cdn.beeradvocate.com/im/beers/66527.jpg,General Sherman IPA,American IPA,Tioga-Sequoia Brewing Company,None provided.,49,30169
3.68,6.15,438,https://cdn.beeradvocate.com/im/beers/81479.jpg,Homefront IPA,American IPA,Saint Arnold Brewing Company,None provided.,31,32959
3.69,6.00,439,https://cdn.beeradvocate.com/im/beers/109366.jpg,40 Mile IPA,American IPA,Three Notch'd Brewing Company - Charlottesville Brewery & Restaurant,None provided.,39,32325
4.34,7.50,440,https://cdn.beeradvocate.com/im/beers/148850.jpg,I Love It!,American IPA,Noble Ale Works,"We tried to make the best California IPA we could, and maybe we didn’t make the best one in the state, but all we can say is, “I Love It!” This is a culmination of what we’ve learned (so far!) from making our single hopped series; we utilized some of our favorite hops: Mosaic, Simcoe, Citra, Centennial, Amarillo, Ekuanot and couple others. Golden in color, medium in body with flavors reminiscent of Frankenberry, magnolia flowers and ruby red grapefruit. The finish is dry and crisp.",26,967
3.72,4.50,441,https://cdn.beeradvocate.com/im/beers/225354.jpg,11.5 Plato,American IPA,Sierra Nevada Brewing Co.,None provided.,36,30168
3.91,7.00,442,https://cdn.beeradvocate.com/im/beers/229819.jpg,Tangerine Haze,American IPA,Stillwater Artisanal Ales,None provided.,23,15482
4.09,7.30,443,https://cdn.beeradvocate.com/im/beers/357284.jpg,Infinite Galaxy,American IPA,Pipeworks Brewing Company,None provided.,23,-
3.1,5.80,444,https://cdn.beeradvocate.com/im/beers/222360.jpg,Trouble Brewing Cat's Away,American IPA,World Brews,None provided.,36,46229
3.98,8.40,445,,The Admiral,American IPA,Brothers Craft Brewing,None provided.,14,11180
3.76,7.20,446,https://cdn.beeradvocate.com/im/beers/10428.jpg,Sculler's IPA,American IPA,Skagit River Brewery,None provided.,67,27102
3.95,7.40,447,https://cdn.beeradvocate.com/im/beers/77413.jpg,Cannonball,American IPA,Magic Rock Brewing,None provided.,28,12920
3.57,6.50,448,https://cdn.beeradvocate.com/im/beers/146968.jpg,Laughing Crow IPA,American IPA,Wyndridge Farm Brewing,Laughing Crow IPA is a more intelligent India Pale Ale. Laughing Crow is brewed with a generous amount of quality hops that brings balance to the sweet malts contained inside. The result is a harmony of floral hops mixed with caramel-tinged malty goodness. This IPA will make you crow just a little bit louder.,28,38834
3.88,6.20,449,https://cdn.beeradvocate.com/im/beers/89455.jpg,Dunham / Kissmeyer Leo's Early Breakfast IPA,American IPA,Brasserie Dunham,None provided.,25,17602
3.57,6.80,450,https://cdn.beeradvocate.com/im/beers/88430.jpg,Haymaker IPA,American IPA,Mankato Brewery,Formerly Center Street Series #2.,18,38847
3.78,7.20,451,https://cdn.beeradvocate.com/im/beers/217763.jpg,Huger Street IPA,American IPA,Palmetto Brewing Company,"Our downtown Charleston version of a wheat India Pale Ale has a generous and inviting head that releases a sneak peek to the complexity beneath. Now, close your eyes and inhale the flora of Chinook hops which introduce you to the unique aroma of confederate jasmine, followed by subtle wafts of citrus and flowers provided by the Citra hops.",23,25524
3.78,4.50,452,https://cdn.beeradvocate.com/im/beers/128691.jpg,Alpha Ox,American IPA,Old Ox Brewery,"Light malt sweetness gives way to juicy citrus and pine nose. Amarillo, Centennial, and Simcoe hops dominate this beer. But there is just enough malt body to maintain balance. All the hoppy goodness is delivered in a very reasonable 4.5% ABV package.",21,25523
3.75,4.90,453,https://cdn.beeradvocate.com/im/beers/169578.jpg,Hopjob Session IPA,American IPA,Foothills Brewing Company - Downtown Brewpub,"End of the day. Work’s done. Fun’s in session. Make it last with this aromatic ale brewed to keep the good times going. A session IPA full of Azacca and Sorachi Ace hops, with all the flavor you’ve come to expect from Foothills. Thirsty? Get a job.",18,27815
3.63,6.50,454,https://cdn.beeradvocate.com/im/beers/217138.jpg,Neon Gypsy - Blood Orange,American IPA,DuClaw Brewing Company,"This clean, clear golden IPA is medium-bodied with a thin white head, crisp mouthfeel, and moderately strong 6.5% ABV. Blood Orange Neon Gypsy blends the grapefruit, citrus, & pine notes of 7 hops with the tart sweetness of blood orange juice for a flavor profile that roams your palate long after the beer’s bittersweet finish. Now pop the top, 'cause ... it's bloody refreshing!",24,35860
3.3,6.20,455,https://cdn.beeradvocate.com/im/beers/54127.jpg,Island Hoppin' IPA,American IPA,St. John Brewers,,26,44852
3.7,5.00,456,https://cdn.beeradvocate.com/im/beers/108615.jpg,Joker IPA,American IPA,Williams Brothers Brewing Company,None provided.,17,31449
3.5,6.60,457,https://cdn.beeradvocate.com/im/beers/87948.jpg,Professor IPA,American IPA,Cranker's Brewery,None provided.,18,41271
3.65,6.50,458,https://cdn.beeradvocate.com/im/beers/97398.jpg,Mind's EyePA,American IPA,Petoskey Brewing Company,None provided.,12,34716
4.08,6.50,459,https://cdn.beeradvocate.com/im/beers/363290.jpg,Maine Beer / Half Acre - Son of Sapping Mammoth,American IPA,Maine Beer Company," Limited (brewed once)The friendship between Half Acre and Maine Beer Company and the good times we’ve shared have become as legendary as the Sapping Mammoth featured in our first collaboration. Expanding on this partnership, we felt it was time for the story to continue with the Son of Sapping Mammoth. For this beer we brewed an IPA featuring Midwest-grown grain as a tribute to our Chicago friends. We hope you enjoy!",23,-
3.87,6.90,460,https://cdn.beeradvocate.com/im/beers/56835.jpg,Chinook Single Hop IPA,American IPA,Mikkeller ApS,None provided.,75,18324
4.01,7.00,461,https://cdn.beeradvocate.com/im/beers/237065.jpg,Trickster IPA,American IPA,Green Man Brewery,"What’s this? An intriguing disguise to tempt and delight-that’s my surprise. If you crave a dank treat and others don’t lure, you’re already discovered the hoppy cure. Spiced with Simcoe, El Dorado, mosaic and the Ghost of Ted.",23,9596
3.5,6.50,462,https://cdn.beeradvocate.com/im/beers/104394.jpg,Hodgson's Bitter End IPA,American IPA,Fish Brewing Company / Fishbowl Brewpub,None provided.,19,41273
4.08,6.70,463,https://cdn.beeradvocate.com/im/beers/251901.jpg,Flagship India Pale Ale,American IPA,Steamworks Brewing Company,None provided.,32,6519
4.01,9.50,464,https://cdn.beeradvocate.com/im/beers/281194.jpg,Prison Rodeo Hoppy Coffee Ale,American IPA,Prairie Artisan Ales,"We have been using coffee in beer for years. What began with Bomb! eventually made an appearance in Okie and Noir. Roast and chocolate and dark flavors dominated these beers. They were what most people would expect from a coffee beer. While loving these beers we also knew we could do a lot more with coffee. We knew there was an array of flavors in coffee and beer that would be great together. We wanted to take a different approach.Prison Rodeo is that approach to coffee and beer. We started with a beer (maybe it was an IPA) full of juicy and citrus hops. It was about as far as we could get from a stout. We needed a coffee to stand up to and compliment the hops. We needed a coffee that was just as fruity and refreshing. Our friends at Spaceship Earth Coffee sourced multiple samples for us to pick from. After cupping numerous coffees this natural-process Ethiopia Sidamo Guji really stood out. We could tell the coffee was going to add another dimension to the beer.We were careful to add just enough coffee to amplify but not dominate the beer. In the glass the beer is full of those bright, delicate fruit aromas before fading into a slight but noticeable roast aroma. ",33,9597
3.98,7.00,465,https://cdn.beeradvocate.com/im/beers/171002.jpg,Mad Hatter - Cascade And Citra,American IPA,New Holland Brewing Company,The reimagined Mad Hatter. Changes include the addition of Michigan-grown Cascade hops and Citra hops to the signature Centennial hop profile and an adjusted grain bill that increases the ABV to 7%.,23,11142
3.79,5.30,466,https://cdn.beeradvocate.com/im/beers/5062.jpg,Shiva IPA,American IPA,Asheville Pizza and Brewing Co.,None provided.,24,24732
2.55,7.20,467,https://cdn.beeradvocate.com/im/beers/44185.jpg,Amnesia IPA,American IPA,Indian Wells Brewing Company,"Named for the beer that was shipped to Her Majesty’s Royal Army in India. This beer was brewed with large amounts of hops, which acted as a natural preservative in transit from the British Isles to India giving it the distinctive bitter taste. Modern Microbreweries now attempt to make IPAs as bitter as possible. Not us. We make the classic India Pale Ale, with an International bitterness rating of around 62. The taste is not overwhelmed with bitterness, but it allows you to enjoy the brilliant subtlety of the complex hops, aromas and flavors of four different hops used to finish our IPA. Oh yeah, we also hand-craft it at 7.2% alcohol by volume.",60,47552
3.9,6.50,468,https://cdn.beeradvocate.com/im/beers/117379.jpg,Recursion,American IPA,Bottle Logic Brewing,None provided.,17,16195
3.95,7.30,469,https://cdn.beeradvocate.com/im/beers/199521.jpg,Blood Orange IPA,American IPA,Latitude 33° Brewing Company,None provided.,34,12832
4.04,6.90,470,https://cdn.beeradvocate.com/im/beers/176276.jpg,Devil Anse IPA,American IPA,Greenbrier Valley Brewing Company,"The Devil Anse IPA is a medium bodied American style India Pale Ale. Featuring a blend of Australian and Pacific Northwest hops; lending to a balanced bitterness of citrus and tropical fruit characteristics. The complex hop flavors are balanced by a blend of malts; including American 2-Row, American Pilsner, and British floor malted barley. At 6.9% abv and 65 IBU’s, no feuding is necessary when you enjoy this refreshingly smooth IPA.HOPS: Amarillo, Galazy, SimcoeMALTS: American 2-Row, American Pilsner, British Crystal Malt",35,8186
4.16,7.00,471,https://cdn.beeradvocate.com/im/beers/292702.jpg,Now & Then,American IPA,Half Acre Beer Company,"Now & Then India Pale Ale pulls back the bead curtain on a fully fogged, fruit cocktail resin blend only found in the cold case, past the bulk bins. Citra, Comet and Simcoe seep through an English strain for a holistic, integrated, personal mega-smudge.",24,3963
3.94,7.00,472,https://cdn.beeradvocate.com/im/beers/66968.jpg,Hopzone IPA,American IPA,Bozeman Brewing Company,None provided.,22,13494
4.15,7.00,473,https://cdn.beeradvocate.com/im/beers/99893.jpg,Heavy Machinery Wet Hop IPA,American IPA,Austin Beerworks,None provided.,14,4217
3.7,7.00,474,https://cdn.beeradvocate.com/im/beers/72124.jpg,Tangerine IPA,American IPA,Potosi Brewing Company,None provided.,17,31457
3.92,7.10,475,https://cdn.beeradvocate.com/im/beers/94967.jpg,Electric Tower IPA,American IPA,Santa Clara Valley Brewing,None provided.,16,14746
3.5,5.50,476,https://cdn.beeradvocate.com/im/beers/304489.jpg,4 Front IPA,American IPA,Victory Brewing Company - Downingtown,"Bright aromas of citrus and pine bring together fresh, earthy flavors and malts to balance a moderate bitterness in the easy-going IPA.",41,41286
4.11,8.00,477,https://cdn.beeradvocate.com/im/beers/237191.jpg,Mosaic & Eureka IPA,American IPA,The Hop Concept Brewing,"Our flagship series of dry-hopped IPAs explores the limitless combinations of our favorite classic, new and experimental hops. Each one is crafted to bring out the complementary characteristics of the different varietals - and deliver a solid hit of bold, crispy freshness.Mosaic & EurekaTwo heavyweights with complex flavors meet head-on in this one-of-a-kind IPA. Mosaic - probably one of the most aptly named hops - fuses an array of tropucal fruit, citrus and berry with mild herbal, earthy and pine characteristics. Heady Eureka hops emphasize heavy pine, underlined by mild floral notes and rounded out with dank aromas.",22,5429
3.69,6.60,478,https://cdn.beeradvocate.com/im/beers/97347.jpg,Bark Bite,American IPA,Big Wood Brewery,None provided.,13,32154
3.84,7.50,479,https://cdn.beeradvocate.com/im/beers/175859.jpg,Live Wire IPA,American IPA,Roak Brewing Co.,None provided.,21,20689
3.87,7.30,480,https://cdn.beeradvocate.com/im/beers/172456.jpg,Simcoe Hopped India Pale Ale,American IPA,Mikkeller ApS,None provided.,20,18317
3.55,6.60,481,https://cdn.beeradvocate.com/im/beers/96568.jpg,Homefront IPA,American IPA,Left Hand Brewing Company,None provided.,19,39668
3.58,6.60,482,https://cdn.beeradvocate.com/im/beers/9611.jpg,Iron Horse IPA,American IPA,Mountain Town Brewing Co.,"Don't be shy, try it. Like any good I.P.A. this one has plenty of hop presence but not so much that it is not approachable by our hop-weary friends. Instead of biggering and biggering like so many I.P.A.s these days we are keepin' it real with a beer that will make you want to drink more than just one. Don't worry though, hops heads, this beer still has enough bite to cut through any spicy dish you might want to pair it with. Try one, or five, with buffalo wings or a spicy blackened chicken dish. Iron Horse can also go quite well with shrimp, crab, or other light fish, so we have heard from a few of our loyal patrons. So, belly up and try Iron Horse if you have ever wondered what a good I.P.A is like. We promise you won't be disappointed.",45,38437
3.79,7.20,483,https://cdn.beeradvocate.com/im/beers/133798.jpg,Filthy Dirty IPA,American IPA,Parallel 49 Brewing Company,None provided.,18,24730
3.66,6.50,484,https://cdn.beeradvocate.com/im/beers/123437.jpg,Squatters Off Duty IPA,American IPA,Utah Brewers Cooperative,None provided.,23,34094
3.72,6.70,485,https://cdn.beeradvocate.com/im/beers/195378.jpg,Saranac West End Winter IPA (India Pale Ale),American IPA,Matt Brewing Company / Saranac Brewery,None provided.,23,30039
3.8,6.50,486,https://cdn.beeradvocate.com/im/beers/162085.jpg,Great Lei,American IPA,Belching Beaver Brewery,None provided.,28,23912
3.94,6.60,487,https://cdn.beeradvocate.com/im/beers/114713.jpg,IPA,American IPA,Gun Hill Brewing Company,Our India Pale Ale features an abundance of hop character gained from 5 separate additions of hops including the use of whole-cone Simcoe and Citra hops in our hop jack. Notes of citrus fruit and grass in the aroma are followed by a rounded flavor of citrus and pine.,11,13481
